"","brand","year","mileage","engine_size","automatic_transmission","fuel","drivetrain","min_mpg","max_mpg","damaged","first_owner","navigation_system","bluetooth","third_row_seating","heated_seats","price"
"3220","Jaguar",2017,46972,5,1,"Petrol","Rear-wheel Drive",17,25,0,0,1,1,0,0,44888
"3274","Toyota",2019,52854,2.5,1,"Hybrid","Front-wheel Drive",43,43,1,1,1,1,0,1,30991
"3329","FIAT",2015,78057,1.4,1,"Petrol","Front-wheel Drive",7,32,0,1,0,1,0,0,10914
"3388","Land",2019,66080,NA,1,"Petrol","Four-wheel Drive",22,28,0,1,1,1,0,0,37999
"3443","Land",2014,92977,3,1,"Petrol","Four-wheel Drive",NA,NA,0,0,1,1,0,0,23399
"3498","Mercedes-Benz",2021,6548,2,1,"Petrol","Front-wheel Drive",25,35,0,1,0,1,0,0,36490
"3557","Lexus",2021,22834,2.5,1,"Hybrid","Four-wheel Drive",20,27,0,0,0,1,0,0,38795
"3610","Land",2018,64033,NA,1,"Petrol","Four-wheel Drive",15,22,1,0,1,1,0,1,53000
"3675","Mercedes-Benz",2018,55062,2,1,"Petrol","Front-wheel Drive",23,30,0,0,1,1,0,0,27998
"3733","Mazda",2023,1999,2.5,1,"Petrol","Four-wheel Drive",20,26,0,1,0,1,0,1,33688
"3788","Hyundai",2020,59034,2.4,1,"Petrol","Front-wheel Drive",19,26,0,0,0,1,0,1,21807
"3850","Mitsubishi",2015,77524,2,1,"Petrol","Four-wheel Drive",25,31,1,0,0,1,0,1,13695
"3906","Volkswagen",2012,89740,2,1,"Petrol","Front-wheel Drive",NA,NA,1,0,0,1,0,1,8990
"3965","Nissan",2016,31311,3.5,1,"Petrol","Front-wheel Drive",27,38,0,1,1,1,0,1,23988
"4023","Volkswagen",2020,28369,2,1,"Petrol","Four-wheel Drive",NA,NA,0,0,0,1,0,0,28911
"4083","BMW",2010,99800,4.8,1,"Petrol","Rear-wheel Drive",15,23,1,1,1,1,0,0,11995
"4141","Kia",2020,19480,NA,1,"Petrol","Front-wheel Drive",27,37,0,1,1,1,1,1,46995
"4197","Mazda",2010,152326,2,1,"Petrol","Front-wheel Drive",26,34,1,0,0,0,0,0,7995
"4257","MINI",2019,51690,2,1,"Petrol","Front-wheel Drive",23,31,0,0,0,1,0,1,22442
"4315","Ford",2016,48714,5,0,"Petrol","Rear-wheel Drive",15,25,0,0,0,1,0,0,27582
"4376","Maserati",2019,21789,3,1,"Petrol","Four-wheel Drive",17,24,0,1,1,1,0,1,46979
"4435","Jeep",2022,25631,2.4,1,"Petrol","Four-wheel Drive",13,19,0,1,0,1,0,1,31995
"4494","Ford",2021,73561,3.5,1,"GPL","Rear-wheel Drive",NA,NA,1,1,0,1,1,0,44950
"4550","MINI",2013,93424,1.6,1,"Petrol","Front-wheel Drive",28,35,0,1,0,1,0,0,12995
"4603","Volkswagen",2022,24983,3.6,1,"Petrol","Four-wheel Drive",18,24,0,1,1,1,1,1,45000
"4663","Toyota",2021,21975,2.5,1,"Hybrid","Four-wheel Drive",NA,NA,0,1,1,0,0,1,39998
"4718","Chevrolet",2008,40679,3.5,1,"GPL","Front-wheel Drive",18,29,0,1,0,0,0,0,10798
"4776","Kia",2013,86261,2.4,1,"Hybrid","Front-wheel Drive",28,37,0,0,0,1,0,0,15595
"4833","Lexus",2022,6484,2.4,1,"Petrol","Four-wheel Drive",21,31,0,1,1,0,0,1,52647
"4890","MINI",2010,81161,1.6,0,"Petrol","Front-wheel Drive",28,35,0,1,0,0,0,0,8995
"4946","Toyota",2019,57608,4,1,"Petrol","Four-wheel Drive",17,20,0,1,1,1,0,1,41995
"5005","Alfa",2019,25515,2,1,"Petrol","Four-wheel Drive",23,31,0,1,0,1,0,1,31904
"5065","Jeep",2021,23372,3.6,1,"Petrol","Four-wheel Drive",NA,NA,0,0,1,1,0,0,48986
"5129","Ford",2018,32106,2,1,"Petrol","Four-wheel Drive",20,29,1,1,1,1,0,1,22490
"5187","Mitsubishi",2018,72562,2.4,1,"Petrol","Front-wheel Drive",24,30,0,0,0,1,1,0,16888
"5243","Mercedes-Benz",2023,4495,2,1,"Petrol","Four-wheel Drive",15,19,NA,NA,0,0,0,1,51565
"5307","Ford",2021,9022,NA,1,"Electric","Four-wheel Drive",NA,NA,0,1,1,1,0,1,52400
"5361","Jeep",2020,37591,3.6,1,"Petrol","Four-wheel Drive",15,19,0,1,0,1,0,0,40989
"5418","Jeep",2020,15189,3.6,1,"Petrol","Four-wheel Drive",16,22,1,1,1,1,0,0,33988
"5477","MINI",2012,97951,1.6,0,"Petrol","Front-wheel Drive",23,31,0,0,1,1,0,0,9590
"5530","Audi",2018,23763,2,1,"Petrol","Four-wheel Drive",24,34,0,0,1,1,0,0,32998
"5586","Toyota",2018,28018,2.5,1,"Hybrid","Front-wheel Drive",39,40,0,0,1,1,0,0,29800
"5652","Ford",2019,37442,3.5,1,"Petrol","Four-wheel Drive",NA,NA,1,0,0,1,0,0,40968
"5714","Jeep",2018,91452,3.6,1,"Petrol","Rear-wheel Drive",NA,NA,1,0,0,1,0,0,24402
"5773","FIAT",2019,29015,1.4,1,"Petrol","Rear-wheel Drive",26,36,0,0,0,1,0,1,23995
